,MSE,MAE
CRWD,78.90817988919983,7.040001908393755
CCI,18.41535510176837,3.147782103656089
CSX,0.868359279730675,0.7667365400758512
CMI,41.21864652799996,4.994717010079998
CVS,6.308091132043246,1.8995398429975117
DHR,69.69346680672527,6.727524117247698
DRI,9.220904373709345,2.3728949664390258
DVA,27.09954368734887,3.3248781700656838
DAY,13.003176583225754,2.944380093927253
DECK,3.386788154319523,1.49996958693413
DE,105.37480911134091,7.732811496682363
DELL,3.574847032771723,1.441754223549203
DAL,2.2800374642205474,1.1316834279935657
DVN,12.719214830133144,2.740638471629522
DXCM,18.242137897178402,3.0927758412818394
FANG,34.27721037213892,4.198713851301637
DLR,14.438593599474851,3.080586577114993
DFS,19.402373360399764,3.3984103268139982
DG,16.648139149457702,3.1632514849101026
DLTR,27.304443004681435,4.220514166845034
D,4.871799992872956,1.6982577859538874
DPZ,103.41436642086872,8.22700897634846
DOV,14.95790481669166,3.0543721342739985
DOW,2.248718829838178,1.111552852473847
DHI,9.706059145054338,2.4758283275447486
DTE,19.237289330754226,3.681911782042621
DUK,5.947660325062363,1.8425769544627562
DD,14.970585001353992,3.354640621028534
EMN,12.440292355880755,2.6035961516915935
ETN,21.22335874602957,3.8588895405808534
EBAY,6.42009702774033,2.1557594456084788
ECL,26.401203921514448,3.950743165734696
EIX,2.7333248194407944,1.3339427791229663
EW,10.530773263357657,2.430075867535317
EA,6.013728353808064,1.9883713395628202
ELV,142.44401818268915,9.58134188717359
EMR,5.499460523463275,1.9073900196650257
ENPH,152.4808374468097,9.328209236876605
ETR,4.90701481992935,1.8113073584151582
EOG,26.85414891245524,4.004905648427467
EPAM,338.59668697005344,14.55841879648705
EQT,7.231797988904519,2.16214438660504
EFX,48.18880006422334,5.476208516996201
EQIX,306.7576123047238,13.651219616197562
EQR,2.8668702631989045,1.3792144566366111
ERIE,34.488113410992554,4.215279043537297
ESS,41.2951161479466,5.164795235411764
EL,67.05961414347946,6.738481390966128
EG,79.04769988700089,6.9442160619448305
EVRG,1.4780216149139387,0.9439236889146778
ES,2.6506099308073856,1.2917638282253314
EXC,1.1017491976049376,0.8223020736485311
EXPE,27.853982514764784,3.8812764834051263
EXPD,12.036061428348166,2.814471048851536
EXR,84.5198227006142,8.122545111669254
XOM,11.976492776746355,2.882530055633963
FFIV,31.690642453600933,4.563024128953072
FDS,205.5283407242203,11.617886059904752
FICO,634.6084493132921,16.127749926423377
FAST,1.5902763681565195,0.9444185544366708
FRT,7.703765768031527,2.3449082047971963
FDX,60.25195298106124,5.149724986455211
FIS,23.501239141077356,3.508760948703713
FITB,1.183015086851511,0.8354893253274158
FSLR,37.093011473410265,4.7696937404266775
FE,1.539685802552088,1.0843058155007559
FI,9.009882477056694,2.362348948439506
FMC,5.707804895407195,1.9183508468000865
F,0.20748032520642065,0.3557148502297596
FTNT,7.0137738146646145,2.0319443794145977
FTV,2.223907191748691,1.1909473366933323
FOXA,0.7174192565371785,0.6409217886728783
FOX,0.5614964731994905,0.5888829296582365
BEN,0.7514519813022874,0.6736084271783697
FCX,3.0103714896175573,1.4216960619573722
GRMN,7.888144302047942,2.270852911962222
IT,84.54224338855803,7.211686852860126
GE,2.7278889589351945,1.3341943662460536
