,MSE,MAE,MAPE
DUK,3.60785980450961,1.4825711457625674,1.5438965009455752
DVA,7.847468588965859,2.1235854439113435,1.9306151138073786
DVN,9.788878588904453,2.567103278118631,5.291695118436849
DXCM,32.324847713714135,4.748886639138925,4.501416102554891
EA,10.563248805978104,2.5456708825152856,2.0293964707411747
EBAY,2.443219599721867,1.2895250071649966,2.445049809621377
ECL,54.70636777314967,5.921874734629758,3.3893893554697527
ED,9.482654546085822,2.755899445906929,3.30106116968254
EFX,123.62278108671099,8.763907125721806,3.8696486303220654
EG,30.889223898382365,4.3864972985309105,1.6275849980872934
EIX,1.3212467858051566,0.9008305425229279,1.5052620407569408
EL,113.18067766842432,8.548124230426293,3.0769837547747163
ELV,160.34398560510218,10.270644478175948,2.265385200337114
EMN,7.146872862851063,1.9898824277131464,1.947182767759579
EMR,7.024659819529471,2.098623259171195,2.4224867130146257
ENPH,173.04313818525583,10.428747425908627,6.542852989596517
EOG,10.543514006518569,2.687423772397247,2.720192678914128
EPAM,2214.646101879671,33.77005495817765,9.769094731159202
EQIX,353.9726271595321,14.435781993036688,2.117485123519895
EQR,2.534226059695483,1.2283321878184443,1.5789286279501908
EQT,8.359024110984105,2.219033780305283,7.170652327330663
ERIE,29.869186848215758,4.61098977793818,2.7340185082500272
ES,3.4113510621989995,1.5197852756666101,1.8786787622843064
ESS,55.57864104435658,5.830648936396059,1.9480648581953042
ETN,10.60529630027266,2.6898412289826767,1.8333342281985368
ETR,3.9065201536251233,1.6195618339206865,1.5770675714659281
EVRG,2.9035399903215557,1.5215110115382982,2.531510731491615
EW,20.257501343579513,3.6923976068911357,3.313791740486775
EXC,0.6819888803241121,0.6455903758173405,1.6049462556553182
EXPD,17.993871611782417,3.689756111476733,3.455018131329092
EXPE,75.39326199686975,6.626853942871094,3.8334425530269423
EXR,54.092153646238145,6.236929188603942,3.427591366132293
F,0.9337425051529239,0.7464229417883836,5.1400302740936255
FANG,31.61054244927162,4.6492084669030245,4.17778875922037
FAST,2.0164529869861854,1.1829777593198034,2.254143532556805
FCX,4.494222027006936,1.6600064484969432,4.025746245165101
FDS,112.74580844149153,8.568195641559102,2.08947122783899
FDX,52.80683605800304,5.999051699431046,2.784095458483473
FE,0.3388002979856379,0.4370786915654721,1.1278789382765824
FFIV,120.05302884249701,9.125573067043138,4.5931111096534725
FI,5.847935735304718,1.9392913818359374,1.9378150723802878
FICO,317.96313902443353,13.105328899881117,3.006423113504373
FIS,13.845291418805413,2.83539050558339,3.009017964534278
FITB,2.559196567106055,1.275332807457965,3.225589267302026
FMC,8.832320188592774,2.2759258104407265,2.055745007555155
FOX,0.7921029066148784,0.6988911172618034,2.052280337435872
FOXA,2.151242325429991,1.2471173659614894,3.3009121166716624
FRT,6.9495614122533595,2.183451445206353,1.9817143575781682
FSLR,9.957098913112903,2.416747018565302,3.2636550397446644
FTNT,20.1361513645702,3.506795601222826,5.843182743626557
FTV,3.518214697030286,1.441430829918903,2.2915718641564586
GD,27.910238419037857,4.312599911897076,2.0191851639811573
GDDY,10.106294506168721,2.4432732623556386,3.125794057300045
