,MSE,MAE
CB,10.94796806504424,2.701541403065557
CBOE,6.1560823376665095,1.9956298828125
CBRE,12.373697325794303,2.80563374394956
CCI,27.481629432849182,4.2210734491762905
CCL,1.1587375829056559,0.8745579926863961
CDNS,39.9030660657354,5.246569160793141
CDW,23.20800781651888,3.7785412332286015
CE,16.399217562462486,3.196153723675272
CF,20.59964406786198,3.57674965236498
CFG,6.95487512935487,2.1936762602432918
CHD,8.277214293916323,2.154119143278702
CHRW,14.14836301249199,3.1024888411812155
CHTR,396.2499300836788,15.544994321076766
CI,30.730561344586697,4.5305599046790075
CINF,8.49537378010067,2.088011832859205
CL,1.7818243162387617,1.0492683078931726
CLX,35.460172292829554,4.178029931109885
CMCSA,1.040278305700074,0.7326659824537195
CME,22.969769738136755,3.5836263905400814
CMG,1.37057804206485,0.9371869957965359
CMI,27.112679005096396,4.247315647291101
CMS,3.6166285187235037,1.6360755256984547
CNC,4.81196823987816,1.7954751056173568
CNP,0.49048754337038764,0.593266827127208
COF,25.680612954908845,4.19835092295771
COO,10.56638016483402,2.6247819983440897
COP,12.666866041533392,2.9384918876316233
COR,10.1575026799211,2.418668332307235
COST,550.1703889757073,17.64475681470788
CPAY,39.04415172843425,4.653389043393341
CPB,0.6983661723963454,0.6137173859969431
CPRT,1.002819656014997,0.7815758414890454
CPT,18.010238698386562,3.4133369114087975
CRL,209.2644086355829,11.647570004670513
CRM,68.7623531938915,6.715365865956182
CRWD,169.56759416027117,10.419509887695312
CSCO,2.242538742018287,1.0782414975373642
CSGP,6.229946781589102,1.8200201283330504
CSX,0.810633743514241,0.7202201511548914
CTAS,6.103116747752109,1.9617638629415755
CTLT,31.025439738194233,4.377112015433934
CTRA,1.6123590994676258,1.030896825375764
CTSH,4.697024595093124,1.6945469731869904
CTVA,3.8999805036265385,1.5893004375955333
CVS,7.0091698232279045,2.2562169614045526
CVX,27.628023066707268,3.7338311900263257
CZR,17.14336753627349,3.225437296991763
D,1.8174337192494219,1.042456917140795
DAL,2.3429786949066713,1.1622950346573542
DAY,15.876062724004376,3.1632965087890623
DD,4.9368116638421995,1.8246715048085091
DE,230.3459504119323,11.525420611837637
DECK,6.114613520184595,2.046562028967815
DELL,3.6075715246871023,1.4995255843452786
DFS,19.77296653553469,3.6968690955120582
DG,63.19986371228306,5.846647046959919
DGX,15.180894749501274,3.0777441936990493
DHI,8.259277101946772,2.3442664768384844
DHR,65.35553014728075,6.598311316448707
DIS,24.035767315066945,3.9360636835512905
DLR,15.82778218728288,3.0470026430876365
DLTR,22.455010610153273,3.466105784540591
DOC,0.4250403300385462,0.4903669108515199
DOV,11.224781692180398,2.642768329122792
DOW,3.345026619802228,1.5086747542671533
DPZ,270.79184986189335,13.197025199558427
DRI,22.344334993002235,3.752298769743545
DTE,9.821806352240353,2.7052240786345108
DUK,9.026536942005112,2.7200542947520376
DVA,7.615709274498561,2.1783060488493544
DVN,8.350337791040483,2.301512544051461
DXCM,44.45103237404507,5.597755631156588
EA,10.912758728453861,2.6410202689792808
EBAY,6.1786370653642635,2.0841708971106483
ECL,53.6044174165445,5.670310509723166
ED,8.261953577187173,2.5499944935674246
EFX,56.67489221659489,6.2001495361328125
EG,36.86844468289459,4.7920915686565895
EIX,3.069085915836017,1.4921322698178503
EL,89.5168108246775,7.512213930876359
ELV,271.11066439415765,13.505234162703802
EMN,22.39287899727528,4.05047143023947
EMR,5.776651967725836,1.8882722274116845
ENPH,144.03496635062925,9.767906653362772
EOG,10.367268326551063,2.6369181093962277
EPAM,1539.985542145748,26.695832360309105
EQIX,329.39797443096415,13.917703910495927
EQR,3.449173630371629,1.5269389940344769
EQT,4.495377792684876,1.6275314331054698
ERIE,23.33202961151609,4.0095466945482325
ES,2.4124410851554865,1.2321949834408967
ESS,61.81921683442172,6.259261686905571
ETN,10.834399014284186,2.7091235616932745
ETR,5.25822509015435,1.9120140407396409
EVRG,1.3613732341712383,0.9499138873556383
EW,26.46916415564181,4.216279469365659
EXC,0.910203955751343,0.7430751966393514
EXPD,18.46102087126954,3.7127834817637577
EXPE,91.83663189905776,7.101454228940219
EXR,32.307242709418524,4.480556852921196
F,0.5848894043663914,0.5552751126496688
FANG,28.15172546684348,4.315265622346297
FAST,2.461239050863232,1.2823283983313525
FCX,4.5214568980073615,1.6460713262143345
FDS,142.5338341286487,9.334129797894024
FDX,46.1244017100023,5.256273485266646
FE,0.44910575679488196,0.5301995982294496
FFIV,45.09278740374493,4.846172697647758
FI,7.046905846183657,2.135895903214165
FICO,260.11628007628843,11.59015715225883
FIS,13.034030795722451,2.7704591834026835
FITB,2.730509219046728,1.3562524712604023
FMC,9.981962636305008,2.6709103128184446
FOX,1.4504814467886993,0.9773655103600544
FOXA,1.8483218556702132,1.136376090671705
FRT,9.055786592720848,2.4489424995754088
FSLR,9.644152743607233,2.405799799380095
FTNT,13.951061478634138,2.8832969665527344
FTV,3.0382961424619315,1.3197271595830502
GD,28.050464152577106,3.9107132621433416
GDDY,7.599312656606629,2.177568651282269
GE,4.9915752023692574,1.7777646603791608
GEN,0.7254409211468513,0.5984236509903615
GILD,0.9621904739207826,0.7739315862240999
GIS,3.9513658068876767,1.7596412326978605
GL,4.726261977213121,1.806858294943103
GLW,1.5374643739734577,0.8812940680462381
GM,3.7741629739410913,1.4794365924337636
GNRC,262.693498897182,12.928033845320991
GOOG,16.051799305114365,3.2041441544242524
GOOGL,16.947935662457077,3.3086388629415766
GPC,7.200152289969138,2.1694689543350894
GPN,17.288276643109114,3.1933287910793138
GRMN,17.017242257502538,3.371540500806726
GS,115.51650611593828,8.474308710512908
GWW,189.87412897822986,10.976877759850549
HAL,1.8331308523628913,1.0589509383491846
HAS,5.479240312021855,1.9341593203337302
HBAN,0.4154982967567696,0.5647254695063052
HCA,102.31091139767447,7.057283749787706
HD,86.25208947724138,7.358966595193615
HES,21.583132026621403,3.8300202079441226
HIG,1.765573814712368,1.0859572369119395
HII,37.066867672866614,4.746329398777174
HLT,29.140634344650795,4.340522567085598
HOLX,4.069281746975511,1.63475341796875
HON,27.180272957791942,4.220431385869565
HPE,0.23131415749970116,0.38370821579642916
HPQ,1.3776516760365387,0.9339336561120075
HRL,1.488668851399258,0.8641210141389266
HSIC,4.420695116600204,1.6958020417586617
HST,0.3907327430760114,0.515673944224482
HSY,47.763177325289035,6.2784299104110035
HUBB,15.272944488145587,3.173219100288724
HUM,296.96502259261905,10.593977156929348
HWM,1.895956563591544,1.125109697424847
IBM,6.548698331317461,1.9748911981997288
ICE,11.351651460397498,2.4984658282736083
IDXX,1814.7731411399973,33.62887944760531
IEX,20.198737568438595,3.5544355309527824
IFF,9.779555651906918,2.4673366380774455
INCY,3.0935067380262216,1.3495450227156929
INTC,1.515548747804386,0.9919337728749154
INTU,700.8206942362709,21.29824563731318
INVH,1.729531977616463,1.1392786440641984
IP,0.7040402708143632,0.6560573080311651
IPG,1.0947313077018956,0.8164101973823876
IQV,106.0885542860437,8.182704096255097
IR,2.3192032981868937,1.215373694378397
IRM,2.6396932471794106,1.2735473632812504
ISRG,200.17711885885902,11.31303777280061
IT,110.4796745242004,8.069248498004415
ITW,18.968204777993495,3.618474413001019
IVZ,0.5660752529017496,0.5962415031764818
J,14.760285311158862,3.103475288722826
JBHT,37.55663814961951,4.122595612899118
JBL,8.538529322325738,2.3365018761676293
JCI,4.799491601587407,1.6424643475076428
JKHY,10.059320524563688,2.5836551832116164
JNJ,11.810411583933899,2.8846147620159646
JNPR,1.0781233210395331,0.8334196837052056
JPM,28.290514193128022,4.070140274711276
K,1.3928970237767415,0.9184485725734542
KDP,0.35023326400158744,0.4763863936714504
KEY,0.46278822961500304,0.5591923921004586
KEYS,55.04586570977799,6.132486758024795
KHC,1.1084364650618233,0.7590255903161093
KIM,0.3332423257385888,0.4447701827339505
KKR,7.481844470905186,2.2335580245308253
KLAC,180.15721175422,10.897248906674589
KMB,5.885096996604044,1.5574843033500358
KMI,0.21279467965763943,0.360715028514033
KMX,17.29054586233916,3.3750725787618885
KO,2.0142192215570134,1.2307709403659983
